"from","to","target","source"
"Takahiro Sakurai","Aki Toyosaki",40,34
"Takahiro Sakurai","Rikiya Koyama",41,34
"Takahiro Sakurai","Kenta Miyake",42,34
"Toa Yukinari","Yuki Kaji",1,35
"Toa Yukinari","Minako Kotobuki",36,35
"Toa Yukinari","Takahiro Fujiwara",37,35
"Toa Yukinari","Yoshiro Matsumoto",38,35
"Toa Yukinari","Kazuki Yao",39,35
"Toa Yukinari","Aki Toyosaki",40,35
"Toa Yukinari","Rikiya Koyama",41,35
"Toa Yukinari","Kenta Miyake",42,35
"Yuki Kaji","Minako Kotobuki",36,1
"Yuki Kaji","Takahiro Fujiwara",37,1
"Yuki Kaji","Yoshiro Matsumoto",38,1
"Yuki Kaji","Kazuki Yao",39,1
"Yuki Kaji","Aki Toyosaki",40,1
"Yuki Kaji","Rikiya Koyama",41,1
"Yuki Kaji","Kenta Miyake",42,1
"Minako Kotobuki","Takahiro Fujiwara",37,36
"Minako Kotobuki","Yoshiro Matsumoto",38,36
"Minako Kotobuki","Kazuki Yao",39,36
"Minako Kotobuki","Aki Toyosaki",40,36
"Minako Kotobuki","Rikiya Koyama",41,36
"Minako Kotobuki","Kenta Miyake",42,36
"Takahiro Fujiwara","Yoshiro Matsumoto",38,37
"Takahiro Fujiwara","Kazuki Yao",39,37
"Takahiro Fujiwara","Aki Toyosaki",40,37
"Takahiro Fujiwara","Rikiya Koyama",41,37
"Takahiro Fujiwara","Kenta Miyake",42,37
"Yoshiro Matsumoto","Kazuki Yao",39,38
"Yoshiro Matsumoto","Aki Toyosaki",40,38
"Yoshiro Matsumoto","Rikiya Koyama",41,38
"Yoshiro Matsumoto","Kenta Miyake",42,38
"Kazuki Yao","Aki Toyosaki",40,39
"Kazuki Yao","Rikiya Koyama",41,39
"Kazuki Yao","Kenta Miyake",42,39
"Aki Toyosaki","Rikiya Koyama",41,40
"Aki Toyosaki","Kenta Miyake",42,40
"Rikiya Koyama","Kenta Miyake",42,41
"Hiroaki Iwanaga","Takahiro Sakurai",34,33
"Hiroaki Iwanaga","Toa Yukinari",35,33
"Hiroaki Iwanaga","Yuki Kaji",1,33
"Hiroaki Iwanaga","Minako Kotobuki",36,33
"Hiroaki Iwanaga","Takahiro Fujiwara",37,33
"Hiroaki Iwanaga","Yoshiro Matsumoto",38,33
"Hiroaki Iwanaga","Kazuki Yao",39,33
"Hiroaki Iwanaga","Aki Toyosaki",40,33
"Hiroaki Iwanaga","Rikiya Koyama",41,33
"Hiroaki Iwanaga","Kenta Miyake",42,33
"Hiroaki Iwanaga","Nobuyuki Katsube",43,33
"Hiroaki Iwanaga","Houchu Ohtsuka",44,33
"Hiroaki Iwanaga","Takayuki Sugo",191,33
"Takahiro Sakurai","Toa Yukinari",35,34
"Takahiro Sakurai","Yuki Kaji",1,34
"Takahiro Sakurai","Minako Kotobuki",36,34
"Takahiro Sakurai","Takahiro Fujiwara",37,34
"Takahiro Sakurai","Yoshiro Matsumoto",38,34
"Takahiro Sakurai","Kazuki Yao",39,34
"Takahiro Sakurai","Aki Toyosaki",40,34
"Takahiro Sakurai","Rikiya Koyama",41,34
"Takahiro Sakurai","Kenta Miyake",42,34
"Takahiro Sakurai","Nobuyuki Katsube",43,34
"Takahiro Sakurai","Houchu Ohtsuka",44,34
"Takahiro Sakurai","Takayuki Sugo",191,34
"Toa Yukinari","Yuki Kaji",1,35
"Toa Yukinari","Minako Kotobuki",36,35
"Toa Yukinari","Takahiro Fujiwara",37,35
"Toa Yukinari","Yoshiro Matsumoto",38,35
"Toa Yukinari","Kazuki Yao",39,35
"Toa Yukinari","Aki Toyosaki",40,35
"Toa Yukinari","Rikiya Koyama",41,35
"Toa Yukinari","Kenta Miyake",42,35
"Toa Yukinari","Nobuyuki Katsube",43,35
"Toa Yukinari","Houchu Ohtsuka",44,35
"Toa Yukinari","Takayuki Sugo",191,35
"Yuki Kaji","Minako Kotobuki",36,1
"Yuki Kaji","Takahiro Fujiwara",37,1
"Yuki Kaji","Yoshiro Matsumoto",38,1
"Yuki Kaji","Kazuki Yao",39,1
"Yuki Kaji","Aki Toyosaki",40,1
"Yuki Kaji","Rikiya Koyama",41,1
"Yuki Kaji","Kenta Miyake",42,1
"Yuki Kaji","Nobuyuki Katsube",43,1
"Yuki Kaji","Houchu Ohtsuka",44,1
"Yuki Kaji","Takayuki Sugo",191,1
"Minako Kotobuki","Takahiro Fujiwara",37,36
"Minako Kotobuki","Yoshiro Matsumoto",38,36
