"from","to","target","source"
"Sanjay Dutt","Anupam Kher",7,63
"Sanjay Dutt","Ashish Vidyarthi",87,63
"Sanjay Dutt","Aashif Sheikh",88,63
"Sanjay Dutt","Asrani",89,63
"Sanjay Dutt","Razak Khan",78,63
"Sanjay Dutt","Shakti Kapoor",90,63
"Sanjay Dutt","Bindu",91,63
"Sanjay Dutt","Mahavir Shah",92,63
"Sanjay Dutt","Mohan Joshi",93,63
"Sanjay Dutt","Anil Dhawan",257,63
"Govinda","Karisma Kapoor",82,81
"Govinda","Pooja Batra",83,81
"Govinda","Kader Khan",84,81
"Govinda","Paresh Rawal",85,81
"Govinda","Satish Kaushik",75,81
"Govinda","Aruna Irani",86,81
"Govinda","Anupam Kher",7,81
"Govinda","Ashish Vidyarthi",87,81
"Govinda","Aashif Sheikh",88,81
"Govinda","Asrani",89,81
"Govinda","Razak Khan",78,81
"Govinda","Shakti Kapoor",90,81
"Govinda","Bindu",91,81
"Govinda","Mahavir Shah",92,81
"Govinda","Mohan Joshi",93,81
"Govinda","Anil Dhawan",257,81
"Karisma Kapoor","Pooja Batra",83,82
"Karisma Kapoor","Kader Khan",84,82
"Karisma Kapoor","Paresh Rawal",85,82
"Karisma Kapoor","Satish Kaushik",75,82
"Karisma Kapoor","Aruna Irani",86,82
"Karisma Kapoor","Anupam Kher",7,82
"Karisma Kapoor","Ashish Vidyarthi",87,82
"Karisma Kapoor","Aashif Sheikh",88,82
"Karisma Kapoor","Asrani",89,82
"Karisma Kapoor","Razak Khan",78,82
"Karisma Kapoor","Shakti Kapoor",90,82
"Karisma Kapoor","Bindu",91,82
"Karisma Kapoor","Mahavir Shah",92,82
"Karisma Kapoor","Mohan Joshi",93,82
"Karisma Kapoor","Anil Dhawan",257,82
"Pooja Batra","Kader Khan",84,83
"Pooja Batra","Paresh Rawal",85,83
"Pooja Batra","Satish Kaushik",75,83
"Pooja Batra","Aruna Irani",86,83
"Pooja Batra","Anupam Kher",7,83
"Pooja Batra","Ashish Vidyarthi",87,83
"Pooja Batra","Aashif Sheikh",88,83
"Pooja Batra","Asrani",89,83
"Pooja Batra","Razak Khan",78,83
"Pooja Batra","Shakti Kapoor",90,83
"Pooja Batra","Bindu",91,83
"Pooja Batra","Mahavir Shah",92,83
"Pooja Batra","Mohan Joshi",93,83
"Pooja Batra","Anil Dhawan",257,83
"Kader Khan","Paresh Rawal",85,84
"Kader Khan","Satish Kaushik",75,84
"Kader Khan","Aruna Irani",86,84
"Kader Khan","Anupam Kher",7,84
"Kader Khan","Ashish Vidyarthi",87,84
"Kader Khan","Aashif Sheikh",88,84
"Kader Khan","Asrani",89,84
"Kader Khan","Razak Khan",78,84
"Kader Khan","Shakti Kapoor",90,84
"Kader Khan","Bindu",91,84
"Kader Khan","Mahavir Shah",92,84
"Kader Khan","Mohan Joshi",93,84
"Kader Khan","Anil Dhawan",257,84
"Paresh Rawal","Satish Kaushik",75,85
"Paresh Rawal","Aruna Irani",86,85
"Paresh Rawal","Anupam Kher",7,85
"Paresh Rawal","Ashish Vidyarthi",87,85
"Paresh Rawal","Aashif Sheikh",88,85
"Paresh Rawal","Asrani",89,85
"Paresh Rawal","Razak Khan",78,85
"Paresh Rawal","Shakti Kapoor",90,85
"Paresh Rawal","Bindu",91,85
"Paresh Rawal","Mahavir Shah",92,85
"Paresh Rawal","Mohan Joshi",93,85
"Paresh Rawal","Anil Dhawan",257,85
"Satish Kaushik","Aruna Irani",86,75
"Satish Kaushik","Anupam Kher",7,75
"Satish Kaushik","Ashish Vidyarthi",87,75
"Satish Kaushik","Aashif Sheikh",88,75
"Satish Kaushik","Asrani",89,75
"Satish Kaushik","Razak Khan",78,75
"Satish Kaushik","Shakti Kapoor",90,75
"Satish Kaushik","Bindu",91,75
"Satish Kaushik","Mahavir Shah",92,75
"Satish Kaushik","Mohan Joshi",93,75
"Satish Kaushik","Anil Dhawan",257,75
"Aruna Irani","Anupam Kher",7,86
"Aruna Irani","Ashish Vidyarthi",87,86
"Aruna Irani","Aashif Sheikh",88,86
"Aruna Irani","Asrani",89,86
"Aruna Irani","Razak Khan",78,86
"Aruna Irani","Shakti Kapoor",90,86
"Aruna Irani","Bindu",91,86
"Aruna Irani","Mahavir Shah",92,86
"Aruna Irani","Mohan Joshi",93,86
"Aruna Irani","Anil Dhawan",257,86
"Anupam Kher","Ashish Vidyarthi",87,7
"Anupam Kher","Aashif Sheikh",88,7
"Anupam Kher","Asrani",89,7
"Anupam Kher","Razak Khan",78,7
"Anupam Kher","Shakti Kapoor",90,7
"Anupam Kher","Bindu",91,7
"Anupam Kher","Mahavir Shah",92,7
"Anupam Kher","Mohan Joshi",93,7
"Anupam Kher","Anil Dhawan",257,7
"Ashish Vidyarthi","Aashif Sheikh",88,87
"Ashish Vidyarthi","Asrani",89,87
"Ashish Vidyarthi","Razak Khan",78,87
"Ashish Vidyarthi","Shakti Kapoor",90,87
"Ashish Vidyarthi","Bindu",91,87
"Ashish Vidyarthi","Mahavir Shah",92,87
"Ashish Vidyarthi","Mohan Joshi",93,87
"Ashish Vidyarthi","Anil Dhawan",257,87
