"from","to","target","source"
"Shah Rukh Khan","Barbora Mudrochova",88,1
"Shah Rukh Khan","Paula Donner",89,1
"Shah Rukh Khan","Denis Dorokhov",90,1
"Shah Rukh Khan","Martavious Gayles",200,1
"Anushka Sharma","Aru Krishansh Verma",84,83
"Anushka Sharma","Chandan Roy Sanyal",85,83
"Anushka Sharma","Evelyn Sharma",86,83
"Anushka Sharma","Kavi Shastri",87,83
"Anushka Sharma","Barbora Mudrochova",88,83
"Anushka Sharma","Paula Donner",89,83
"Anushka Sharma","Denis Dorokhov",90,83
"Anushka Sharma","Martavious Gayles",200,83
"Aru Krishansh Verma","Chandan Roy Sanyal",85,84
"Aru Krishansh Verma","Evelyn Sharma",86,84
"Aru Krishansh Verma","Kavi Shastri",87,84
"Aru Krishansh Verma","Barbora Mudrochova",88,84
"Aru Krishansh Verma","Paula Donner",89,84
"Aru Krishansh Verma","Denis Dorokhov",90,84
"Aru Krishansh Verma","Martavious Gayles",200,84
"Chandan Roy Sanyal","Evelyn Sharma",86,85
"Chandan Roy Sanyal","Kavi Shastri",87,85
"Chandan Roy Sanyal","Barbora Mudrochova",88,85
"Chandan Roy Sanyal","Paula Donner",89,85
"Chandan Roy Sanyal","Denis Dorokhov",90,85
"Chandan Roy Sanyal","Martavious Gayles",200,85
"Evelyn Sharma","Kavi Shastri",87,86
"Evelyn Sharma","Barbora Mudrochova",88,86
"Evelyn Sharma","Paula Donner",89,86
"Evelyn Sharma","Denis Dorokhov",90,86
"Evelyn Sharma","Martavious Gayles",200,86
"Kavi Shastri","Barbora Mudrochova",88,87
"Kavi Shastri","Paula Donner",89,87
"Kavi Shastri","Denis Dorokhov",90,87
"Kavi Shastri","Martavious Gayles",200,87
"Barbora Mudrochova","Paula Donner",89,88
"Barbora Mudrochova","Denis Dorokhov",90,88
"Barbora Mudrochova","Martavious Gayles",200,88
"Paula Donner","Denis Dorokhov",90,89
"Paula Donner","Martavious Gayles",200,89
"Denis Dorokhov","Martavious Gayles",200,90
"Amitabh Bachchan","Shah Rukh Khan",1,91
"Amitabh Bachchan","Abhishek Bachchan",81,91
"Amitabh Bachchan","Rani Mukerji",19,91
"Amitabh Bachchan","Preity Zinta",48,91
"Amitabh Bachchan","Kiron Kher",92,91
"Amitabh Bachchan","Arjun Rampal",66,91
"Shah Rukh Khan","Abhishek Bachchan",81,1
"Shah Rukh Khan","Rani Mukerji",19,1
"Shah Rukh Khan","Preity Zinta",48,1
"Shah Rukh Khan","Kiron Kher",92,1
"Shah Rukh Khan","Arjun Rampal",66,1
"Abhishek Bachchan","Rani Mukerji",19,81
"Abhishek Bachchan","Preity Zinta",48,81
"Abhishek Bachchan","Kiron Kher",92,81
"Abhishek Bachchan","Arjun Rampal",66,81
"Rani Mukerji","Preity Zinta",48,19
"Rani Mukerji","Kiron Kher",92,19
"Rani Mukerji","Arjun Rampal",66,19
"Preity Zinta","Kiron Kher",92,48
"Preity Zinta","Arjun Rampal",66,48
"Kiron Kher","Arjun Rampal",66,92
"Shah Rukh Khan","Suchitra Krishnamoorthi",93,1
"Shah Rukh Khan","Deepak Tijori",94,1
"Shah Rukh Khan","Rita Bhaduri",95,1
"Shah Rukh Khan","Satish Shah",21,1
"Shah Rukh Khan","Anjan Srivastav",31,1
"Shah Rukh Khan","Goga Kapoor",96,1
"Shah Rukh Khan","Tiku Talsania",73,1
"Shah Rukh Khan","Ravi Baswani",97,1
"Shah Rukh Khan","Naseeruddin Shah",14,1
"Suchitra Krishnamoorthi","Deepak Tijori",94,93
"Suchitra Krishnamoorthi","Rita Bhaduri",95,93
"Suchitra Krishnamoorthi","Satish Shah",21,93
"Suchitra Krishnamoorthi","Anjan Srivastav",31,93
"Suchitra Krishnamoorthi","Goga Kapoor",96,93
"Suchitra Krishnamoorthi","Tiku Talsania",73,93
"Suchitra Krishnamoorthi","Ravi Baswani",97,93
"Suchitra Krishnamoorthi","Naseeruddin Shah",14,93
"Deepak Tijori","Rita Bhaduri",95,94
"Deepak Tijori","Satish Shah",21,94
"Deepak Tijori","Anjan Srivastav",31,94
"Deepak Tijori","Goga Kapoor",96,94
"Deepak Tijori","Tiku Talsania",73,94
"Deepak Tijori","Ravi Baswani",97,94
"Deepak Tijori","Naseeruddin Shah",14,94
"Rita Bhaduri","Satish Shah",21,95
"Rita Bhaduri","Anjan Srivastav",31,95
"Rita Bhaduri","Goga Kapoor",96,95
"Rita Bhaduri","Tiku Talsania",73,95
"Rita Bhaduri","Ravi Baswani",97,95
"Rita Bhaduri","Naseeruddin Shah",14,95
"Satish Shah","Anjan Srivastav",31,21
"Satish Shah","Goga Kapoor",96,21
"Satish Shah","Tiku Talsania",73,21
"Satish Shah","Ravi Baswani",97,21
