"from","to","target","source"
"Rajpal Yadav","Satish Shah",177,24
"Amrish Puri","Kader Khan",88,12
"Amrish Puri","Shashi Kala",89,12
"Amrish Puri","Priyanka Chopra",11,12
"Amrish Puri","Salman Khan",75,12
"Amrish Puri","Akshay Kumar",1,12
"Amrish Puri","Satish Shah",177,12
"Kader Khan","Shashi Kala",89,88
"Kader Khan","Priyanka Chopra",11,88
"Kader Khan","Salman Khan",75,88
"Kader Khan","Akshay Kumar",1,88
"Kader Khan","Satish Shah",177,88
"Shashi Kala","Priyanka Chopra",11,89
"Shashi Kala","Salman Khan",75,89
"Shashi Kala","Akshay Kumar",1,89
"Shashi Kala","Satish Shah",177,89
"Priyanka Chopra","Salman Khan",75,11
"Priyanka Chopra","Akshay Kumar",1,11
"Priyanka Chopra","Satish Shah",177,11
"Salman Khan","Akshay Kumar",1,75
"Salman Khan","Satish Shah",177,75
"Akshay Kumar","Satish Shah",177,1
"Tapsee Pannu","Akshay Kumar",1,90
"Tapsee Pannu","Manoj Bajpayee",17,90
"Tapsee Pannu","Prithviraj Sukumaran",91,90
"Tapsee Pannu","Danny Denzongpa",39,90
"Tapsee Pannu","Anupam Kher",77,90
"Tapsee Pannu","Zakir Hussain",92,90
"Tapsee Pannu","Virendra Saxenda",178,90
"Akshay Kumar","Manoj Bajpayee",17,1
"Akshay Kumar","Prithviraj Sukumaran",91,1
"Akshay Kumar","Danny Denzongpa",39,1
"Akshay Kumar","Anupam Kher",77,1
"Akshay Kumar","Zakir Hussain",92,1
"Akshay Kumar","Virendra Saxenda",178,1
"Manoj Bajpayee","Prithviraj Sukumaran",91,17
"Manoj Bajpayee","Danny Denzongpa",39,17
"Manoj Bajpayee","Anupam Kher",77,17
"Manoj Bajpayee","Zakir Hussain",92,17
"Manoj Bajpayee","Virendra Saxenda",178,17
"Prithviraj Sukumaran","Danny Denzongpa",39,91
"Prithviraj Sukumaran","Anupam Kher",77,91
"Prithviraj Sukumaran","Zakir Hussain",92,91
"Prithviraj Sukumaran","Virendra Saxenda",178,91
"Danny Denzongpa","Anupam Kher",77,39
"Danny Denzongpa","Zakir Hussain",92,39
"Danny Denzongpa","Virendra Saxenda",178,39
"Anupam Kher","Zakir Hussain",92,77
"Anupam Kher","Virendra Saxenda",178,77
"Zakir Hussain","Virendra Saxenda",178,92
"Akshay Kumar","Katrina Kaif",52,1
"Akshay Kumar","Rishi Kapoor",93,1
"Akshay Kumar","Upen Patel",94,1
"Akshay Kumar","Javed Sheikh",79,1
"Akshay Kumar","Nina Wadia",95,1
"Akshay Kumar","Clive Standen",96,1
"Akshay Kumar","Tiffany Mulheron",179,1
"Katrina Kaif","Rishi Kapoor",93,52
"Katrina Kaif","Upen Patel",94,52
"Katrina Kaif","Javed Sheikh",79,52
"Katrina Kaif","Nina Wadia",95,52
"Katrina Kaif","Clive Standen",96,52
"Katrina Kaif","Tiffany Mulheron",179,52
"Rishi Kapoor","Upen Patel",94,93
"Rishi Kapoor","Javed Sheikh",79,93
"Rishi Kapoor","Nina Wadia",95,93
"Rishi Kapoor","Clive Standen",96,93
