"from","to","target","source"
"Kenneth Desai","Sushil Pandey",169,83
"Shah Rukh Khan","Suchitra Krishnamoorthi",84,37
"Shah Rukh Khan","Deepak Tijori",85,37
"Shah Rukh Khan","Rita Bhaduri",86,37
"Shah Rukh Khan","Satish Shah",87,37
"Shah Rukh Khan","Anjan Srivastav",47,37
"Shah Rukh Khan","Goga Kapoor",88,37
"Shah Rukh Khan","Tiku Talsania",89,37
"Shah Rukh Khan","Ravi Baswani",90,37
"Shah Rukh Khan","Naseeruddin Shah",1,37
"Suchitra Krishnamoorthi","Deepak Tijori",85,84
"Suchitra Krishnamoorthi","Rita Bhaduri",86,84
"Suchitra Krishnamoorthi","Satish Shah",87,84
"Suchitra Krishnamoorthi","Anjan Srivastav",47,84
"Suchitra Krishnamoorthi","Goga Kapoor",88,84
"Suchitra Krishnamoorthi","Tiku Talsania",89,84
"Suchitra Krishnamoorthi","Ravi Baswani",90,84
"Suchitra Krishnamoorthi","Naseeruddin Shah",1,84
"Deepak Tijori","Rita Bhaduri",86,85
"Deepak Tijori","Satish Shah",87,85
"Deepak Tijori","Anjan Srivastav",47,85
"Deepak Tijori","Goga Kapoor",88,85
"Deepak Tijori","Tiku Talsania",89,85
"Deepak Tijori","Ravi Baswani",90,85
"Deepak Tijori","Naseeruddin Shah",1,85
"Rita Bhaduri","Satish Shah",87,86
"Rita Bhaduri","Anjan Srivastav",47,86
"Rita Bhaduri","Goga Kapoor",88,86
"Rita Bhaduri","Tiku Talsania",89,86
"Rita Bhaduri","Ravi Baswani",90,86
"Rita Bhaduri","Naseeruddin Shah",1,86
"Satish Shah","Anjan Srivastav",47,87
"Satish Shah","Goga Kapoor",88,87
"Satish Shah","Tiku Talsania",89,87
"Satish Shah","Ravi Baswani",90,87
"Satish Shah","Naseeruddin Shah",1,87
"Anjan Srivastav","Goga Kapoor",88,47
"Anjan Srivastav","Tiku Talsania",89,47
"Anjan Srivastav","Ravi Baswani",90,47
"Anjan Srivastav","Naseeruddin Shah",1,47
"Goga Kapoor","Tiku Talsania",89,88
"Goga Kapoor","Ravi Baswani",90,88
"Goga Kapoor","Naseeruddin Shah",1,88
"Tiku Talsania","Ravi Baswani",90,89
"Tiku Talsania","Naseeruddin Shah",1,89
